,dHex_count,HexNAc_count,NeuAc_count,Hex_count,LacNAc_count,Glycan_type,mass,Intensity,Rsquared,Sample_collection_time,Sample_name,Sample_collection
196,0,0,0,0,2,Core 2,1881.9048,0.811702605525685,0.991428024491841,22plus4,P20,P20-22plus4
197,1,0,1,0,1,Core 2,1967.9416,2.36140560781224,0.94400054142066,22plus4,P20,P20-22plus4
198,1,0,0,0,2,Core 2,2055.994,1.47561756168209,0.972690712988581,22plus4,P20,P20-22plus4
224,0,0,0,0,-1,Core 1,534.2262,207.945471027905,0.998916140504089,10plus3,P23,P23-10plus3
225,1,0,0,0,-1,Core 1,708.3154,660.573864393232,0.996882647657897,10plus3,P23,P23-10plus3
226,0,0,1,0,-1,Core 1,895.4,616.74885091738,0.993087423375094,10plus3,P23,P23-10plus3
227,1,0,0,1,-1,Core 1,912.4152,34.6999944616614,0.999779444333503,10plus3,P23,P23-10plus3
228,1,1,0,0,-1,Core 1,953.4418,3452.65227026803,0.998653715967554,10plus3,P23,P23-10plus3
229,0,0,0,0,0,Core 2,983.4524,242.165154317709,0.989339004701821,10plus3,P23,P23-10plus3
230,1,0,1,0,-1,Core 1,1069.4892,39.9586372319712,0.969840372441696,10plus3,P23,P23-10plus3
231,1,0,0,0,0,Core 2,1157.5416,73.858297383213,0.9908513216662,10plus3,P23,P23-10plus3
232,0,0,2,0,-1,Core 1,1256.5738,270.871847459357,0.99696783458756,10plus3,P23,P23-10plus3
233,1,0,1,1,-1,Core 1,1273.589,16.2379025994398,0.946003866016364,10plus3,P23,P23-10plus3
234,2,0,0,0,0,Core 2,1331.6308,36.8722332985156,0.994283166019014,10plus3,P23,P23-10plus3
235,0,0,1,0,0,Core 2,1344.6262,26.2932426620852,0.970968744254404,10plus3,P23,P23-10plus3
236,1,1,0,0,0,Core 2,1402.668,49.9876468039255,0.975805780136537,10plus3,P23,P23-10plus3
237,0,0,0,0,1,Core 2,1432.6786,8.85320625467256,0.989775978855378,10plus3,P23,P23-10plus3
238,3,0,0,0,0,Core 2,1505.72,14.4904451621796,0.974767033615317,10plus3,P23,P23-10plus3
239,1,0,1,0,0,Core 2,1518.7154,37.2431358675762,0.994182843141217,10plus3,P23,P23-10plus3
240,2,0,0,1,0,Core 2,1535.7306,5.62203294520616,0.914113681330567,10plus3,P23,P23-10plus3
241,2,1,0,0,0,Core 2,1576.7572,46.1039406461704,0.996488609423113,10plus3,P23,P23-10plus3
242,2,0,1,0,0,Core 2,1692.8046,10.9129671081962,0.947536140343097,10plus3,P23,P23-10plus3
243,0,0,2,0,0,Core 2,1705.8,7.65708918961928,0.984201932317847,10plus3,P23,P23-10plus3
244,3,0,0,1,0,Core 2,1709.8198,2.00256275434572,0.984201932317847,10plus3,P23,P23-10plus3
245,1,0,1,1,0,Core 2,1722.8152,2.71451051835632,0.903634724681147,10plus3,P23,P23-10plus3
246,3,1,0,0,0,Core 2,1750.8464,12.7678005000523,0.995811303991347,10plus3,P23,P23-10plus3
247,0,0,1,0,1,Core 2,1793.8524,4.02899355568766,0.960288580725657,10plus3,P23,P23-10plus3
248,2,2,0,0,0,Core 2,1821.8836,11.4561953768309,0.989024751468831,10plus3,P23,P23-10plus3
249,1,1,0,0,1,Core 2,1851.8942,4.17642776528164,0.959112413055218,10plus3,P23,P23-10plus3
250,1,0,2,0,0,Core 2,1879.8892,35.9209065133758,0.988599620484951,10plus3,P23,P23-10plus3
251,0,0,0,0,2,Core 2,1881.9048,2.87312091986775,0.988599620484951,10plus3,P23,P23-10plus3
252,2,1,1,0,0,Core 2,1937.931,17.6853118422027,0.993536287762161,10plus3,P23,P23-10plus3
253,3,0,0,0,1,Core 2,1954.9462,4.60234140052137,0.908296709409487,10plus3,P23,P23-10plus3
254,1,0,1,0,1,Core 2,1967.9416,5.64481325063236,0.992558383963227,10plus3,P23,P23-10plus3
255,3,2,0,0,0,Core 2,1995.9728,21.0738184655481,0.995235532375878,10plus3,P23,P23-10plus3
256,2,1,0,0,1,Core 2,2025.9834,3.17420071110704,0.985087615546462,10plus3,P23,P23-10plus3
257,1,0,0,0,2,Core 2,2055.994,1.8545114916584,0.951336335455438,10plus3,P23,P23-10plus3
258,3,1,0,0,1,Core 2,2200.0726,3.07718675832588,0.90063088720414,10plus3,P23,P23-10plus3
259,0,0,1,0,2,Core 2,2243.0786,1.67425629240816,0.920236454860997,10plus3,P23,P23-10plus3
260,3,0,1,0,1,Core 2,2316.12,0.671837550896936,0.965694479630911,10plus3,P23,P23-10plus3
261,3,0,0,2,1,Core 2,2363.1458,0.647266643584655,0.928949476357778,10plus3,P23,P23-10plus3
262,2,0,0,1,2,Core 2,2434.183,1.27363867327126,0.958281359379905,10plus3,P23,P23-10plus3
263,0,0,0,0,-1,Core 1,534.2262,1540.47703457051,0.999285889666423,17plus3,P12,P12-17plus3
264,0,0,1,-1,-1,STn,691.3002,233.643805916796,0.999995150797507,17plus3,P12,P12-17plus3
265,1,0,0,0,-1,Core 1,708.3154,2033.70831883839,0.999609011471431,17plus3,P12,P12-17plus3
266,0,0,1,0,-1,Core 1,895.4,79.407769478108,0.918920764527803,17plus3,P12,P12-17plus3
