"","Sample.name","Sample.collection.time","Glycan.type","mass","Composition: dHex-HexNAc-NeuAc-Hex","Intensity","Rsquared"
"410","P8","22plus0","Core 1",708.3154,"1-1-0-1",4212.36828529697,0.99999423345924
"210","P8","22plus0","Core 1",895.4,"0-1-1-1",153.798463266452,0.986688059556186
"610","P8","22plus0","Core 1",912.4152,"1-1-0-2",58.0875952011929,0.99986150877755
"510","P8","22plus0","Core 1",953.4418,"1-2-0-1",6224.98264103894,0.999657861548065
"103","P8","22plus0","Core 2",983.4524,"0-2-0-2",1910.50887925339,0.99704016484897
"710","P8","22plus0","Core 1",1069.4892,"1-1-1-1",13.5262817965048,0.158366035218251
"2841","P8","22plus0","Polyhexose",1089.499,"0-0-0-5",612.236876720114,0.991739361514944
"131","P8","22plus0","Core 2",1157.5416,"1-2-0-2",719.142367882334,0.995676002639912
"310","P8","22plus0","Core 1",1256.5738,"0-1-2-1",23.576965999241,0.0205589934192161
"92","P8","22plus0","Core 1",1273.589,"1-1-1-2",10.6669864547356,0.0891060274365708
"2851","P8","22plus0","Polyhexose",1293.5988,"0-0-0-6",211.995300263632,0.987001949602403
"810","P8","22plus0","Core 1",1314.6156,"1-2-1-1",14.479370737259,0.428597014152119
"201","P8","22plus0","Core 2",1331.6308,"2-2-0-2",335.142097870928,0.994970265128244
"114","P8","22plus0","Core 2",1344.6262,"0-2-1-2",42.984456782622,0.701979492238173
"151","P8","22plus0","Core 2",1361.6414,"1-2-0-3",13.4451133358514,0.990050688939155
"141","P8","22plus0","Core 2",1402.668,"1-3-0-2",179.371378877463,0.993162023844903
"331","P8","22plus0","Core 2",1432.6786,"0-3-0-3",41.3152733644052,0.848033395034087
"2861","P8","22plus0","Polyhexose",1497.6986,"0-0-0-7",64.1413051337326,0.995955667482635
"281","P8","22plus0","Core 2",1505.72,"3-2-0-2",98.8853806167602,0.997536798488715
"161","P8","22plus0","Core 2",1518.7154,"1-2-1-2",21.8970820063189,0.0543982183455002
"231","P8","22plus0","Core 2",1535.7306,"2-2-0-3",9.88567605570115,0.79881318309099
"211","P8","22plus0","Core 2",1576.7572,"2-3-0-2",158.445562095276,0.994344489679915
"361","P8","22plus0","Core 2",1606.7678,"1-3-0-3",37.3816708734368,0.461523786748538
"251","P8","22plus0","Core 2",1692.8046,"2-2-1-2",7.01791990934123,0.832194991735897
"2871","P8","22plus0","Polyhexose",1701.7984,"0-0-0-8",19.4304093588722,0.98438055479547
"121","P8","22plus0","Core 2",1705.8,"0-2-2-2",2.64854775555787,0.98438055479547
"311","P8","22plus0","Core 2",1709.8198,"3-2-0-3",5.1294398630609,0.98438055479547
"181","P8","22plus0","Core 2",1722.8152,"1-2-1-3",2.92923362751142,0.35222148382889
"241","P8","22plus0","Core 2",1739.8304,"2-2-0-4",8.51539472374714,0.573929275196496
"294","P8","22plus0","Core 2",1750.8464,"3-3-0-2",32.8057586289336,0.952258083135123
"171","P8","22plus0","Core 2",1763.8418,"1-3-1-2",4.34331168953296,0.436022423387967
"431","P8","22plus0","Core 2",1780.857,"2-3-0-3",30.8272762489169,0.988972809250451
"341","P8","22plus0","Core 2",1793.8524,"0-3-1-3",4.0102531609004,0.000852311912686656
"381","P8","22plus0","Core 2",1810.8676,"1-3-0-4",2.76123223817813,0.494167297615947
"221","P8","22plus0","Core 2",1821.8836,"2-4-0-2",12.7030196532569,0.965914622228508
"371","P8","22plus0","Core 2",1851.8942,"1-4-0-3",4.78350726325488,0.776967714258369
"191","P8","22plus0","Core 2",1879.8892,"1-2-2-2",2.68259278918952,0.460694411536597
"651","P8","22plus0","Core 2",1881.9048,"0-4-0-4",5.58338144225377,0.460694411536597
"271","P8","22plus0","Core 2",1896.9044,"2-2-1-3",1.94842786513087,0.928774731101719
"2881","P8","22plus0","Polyhexose",1905.8982,"0-0-0-9",5.63316369362506,0.983021023471356
"321","P8","22plus0","Core 2",1913.9196,"3-2-0-4",2.20472448836204,0.422851328283004
"261","P8","22plus0","Core 2",1937.931,"2-3-1-2",5.81459571265464,0.896694057966698
"521","P8","22plus0","Core 2",1954.9462,"3-3-0-3",15.2896132112998,0.992728412904368
"391","P8","22plus0","Core 2",1967.9416,"1-3-1-3",3.42172904712389,0.891675378329639
"461","P8","22plus0","Core 2",1984.9568,"2-3-0-4",1.97548729899399,0.893684412281217
"301","P8","22plus0","Core 2",1995.9728,"3-4-0-2",26.4013574307381,0.962220330674571
"441","P8","22plus0","Core 2",2025.9834,"2-4-0-3",6.99167248255751,0.987254267812931
"681","P8","22plus0","Core 2",2055.994,"1-4-0-4",5.48514327599588,0.96889018544165
"2891","P8","22plus0","Polyhexose",2109.998,"0-0-0-10",3.46525868339675,0.85115778900175
"601","P8","22plus0","Core 2",2129.0354,"4-3-0-3",7.79953024983577,0.991497398543143
"481","P8","22plus0","Core 2",2142.0308,"2-3-1-3",2.51783655276783,0.313880479808319
"351","P8","22plus0","Core 2",2155.0262,"0-3-2-3",2.00293069524417,0.848708080323448
"551","P8","22plus0","Core 2",2159.046,"3-3-0-4",1.35852256611806,0.848708080323448
"411","P8","22plus0","Core 2",2172.0414,"1-3-1-4",1.43962297515105,0.796953545351774
"471","P8","22plus0","Core 2",2189.0566,"2-3-0-5",1.41531881879789,0.181057451706611
"531","P8","22plus0","Core 2",2200.0726,"3-4-0-3",7.14362599008757,0.962017452232273
"401","P8","22plus0","Core 2",2213.068,"1-4-1-3",4.83284022459654,0.715084307341794
"751","P8","22plus0","Core 2",2230.0832,"2-4-0-4",4.15745104028165,0.922628372839438
"661","P8","22plus0","Core 2",2243.0786,"0-4-1-4",2.45546844501989,0.331929159118531
"701","P8","22plus0","Core 2",2260.0938,"1-4-0-5",1.56845423758579,0.526958302437637
"451","P8","22plus0","Core 2",2271.1098,"2-5-0-3",8.55833517993991,0.774883793777009
"691","P8","22plus0","Core 2",2301.1204,"1-5-0-4",5.24053131083798,0.712253032036654
"2901","P8","22plus0","Polyhexose",2314.0978,"0-0-0-11",10.6983074048805,0.990847210302497
"571","P8","22plus0","Core 2",2316.12,"3-3-1-3",0.34029194558133,0.990847210302497
"421","P8","22plus0","Core 2",2329.1154,"1-3-2-3",2.59142446205927,0.644118571907158
"1061","P8","22plus0","Core 2",2331.131,"0-5-0-5",0.116182011387058,0.644118571907158
"631","P8","22plus0","Core 2",2333.1352,"4-3-0-4",0.887906469414881,0.644118571907158
"501","P8","22plus0","Core 2",2346.1306,"2-3-1-4",2.43658606379361,0.45886188525598
