,dHex_count,HexNAc_count,NeuAc_count,Hex_count,mass,Glycan_type,Intensity,Rsquared,Sample_collection_time,Sample_name,Sample_collection
227,6,0,0,1,4217.092,Tetra,0.0,0.996022907063402,22plus5,P7,P7-22plus5
228,1,0,3,0,4226.0676,Tetra,2.68295792627345,0.991082133384054,22plus5,P7,P7-22plus5
229,7,2,0,0,4228.108,Tri,0.984581422128296,0.991082133384054,22plus5,P7,P7-22plus5
230,4,0,1,1,4230.0874,Tetra,1.83117000823334,0.991082133384054,22plus5,P7,P7-22plus5
231,5,2,1,0,4241.1034,Tri,2.92630589650738,0.973634811466242,22plus5,P7,P7-22plus5
232,2,0,2,1,4243.0828,Tetra,0.809587662547001,0.973634811466242,22plus5,P7,P7-22plus5
233,1,0,0,1,4245.125,Hexa,0.229050037491463,0.973634811466242,22plus5,P7,P7-22plus5
234,5,0,0,2,4247.1026,Tetra,0.344554081422419,0.973634811466242,22plus5,P7,P7-22plus5
235,3,2,2,0,4254.0988,Tri,0.943094021996072,0.984589946334109,22plus5,P7,P7-22plus5
236,2,2,0,0,4256.0612,Penta,1.00682038364168,0.984589946334109,22plus5,P7,P7-22plus5
237,6,1,0,0,4258.1186,Tetra,4.23573696095608,0.984589946334109,22plus5,P7,P7-22plus5
238,3,0,1,2,4260.098,Tetra,0.0,0.984589946334109,22plus5,P7,P7-22plus5
239,4,1,1,0,4271.114,Tetra,5.17624936232746,0.975911805941642,22plus5,P7,P7-22plus5
240,2,1,2,0,4284.1094,Tetra,2.02756775608979,0.983916323791489,22plus5,P7,P7-22plus5
241,1,1,0,0,4286.0984,Hexa,1.39832302385069,0.983916323791489,22plus5,P7,P7-22plus5
242,5,0,0,0,4288.1292,Penta,5.85292877457412,0.983916323791489,22plus5,P7,P7-22plus5
243,0,1,3,0,4297.1048,Tetra,0.757747089560199,0.994957509172511,22plus5,P7,P7-22plus5
244,4,0,3,0,4299.109,Tri,2.62735438609805,0.994957509172511,22plus5,P7,P7-22plus5
245,3,0,1,0,4301.1246,Penta,10.2425723770592,0.994957509172511,22plus5,P7,P7-22plus5
246,4,3,1,0,4312.1406,Tri,0.996994189752989,0.99029853055511,22plus5,P7,P7-22plus5
247,1,0,2,0,4314.12,Penta,3.80114191772219,0.99029853055511,22plus5,P7,P7-22plus5
248,5,0,2,1,4316.1242,Tri,2.02460761507388,0.99029853055511,22plus5,P7,P7-22plus5
249,4,0,0,1,4318.1664,Penta,0.827834878237874,0.99029853055511,22plus5,P7,P7-22plus5
250,5,2,0,0,4329.1558,Tetra,4.27001892257011,0.984674219296049,22plus5,P7,P7-22plus5
251,2,0,1,1,4331.1618,Penta,0.319073953248082,0.984674219296049,22plus5,P7,P7-22plus5
252,6,0,1,2,4333.1394,Tri,0.190284147466191,0.984674219296049,22plus5,P7,P7-22plus5
253,5,1,2,0,4357.1508,Tri,1.51163783758768,0.987330450199247,22plus5,P7,P7-22plus5
254,4,1,0,0,4359.1398,Penta,2.06729499295003,0.987330450199247,22plus5,P7,P7-22plus5
255,8,0,0,0,4361.1706,Tetra,0.131612199971993,0.987330450199247,22plus5,P7,P7-22plus5
256,3,1,3,0,4370.1462,Tri,0.983271034725359,0.971109766079452,22plus5,P7,P7-22plus5
257,2,1,1,0,4372.1352,Penta,0.972206438574476,0.971109766079452,22plus5,P7,P7-22plus5
258,6,0,1,0,4374.166,Tetra,1.69230228051433,0.971109766079452,22plus5,P7,P7-22plus5
259,0,1,2,0,4385.1306,Penta,0.325937707697369,0.990059970812992,22plus5,P7,P7-22plus5
260,4,0,2,0,4387.1614,Tetra,5.39555585660922,0.990059970812992,22plus5,P7,P7-22plus5
261,3,0,0,0,4389.177,Hexa,3.21776001133746,0.990059970812992,22plus5,P7,P7-22plus5
262,7,0,0,1,4391.1812,Tetra,0.0,0.990059970812992,22plus5,P7,P7-22plus5
263,2,0,3,0,4400.1568,Tetra,2.24693178282062,0.994304769404529,22plus5,P7,P7-22plus5
