"","Sample.name","Sample.collection.time","Glycan.type","mass","Composition: dHex-HexNAc-NeuAc-Hex","Intensity","Rsquared"
"113","P7","22plus5","Bi",3185.577,"5-5-0-5",4.13368174924016,0.951319493485843
"114","P7","22plus5","Bi",3198.5724,"3-5-1-5",44.7510206946965,0.992486289297956
"115","P7","22plus5","Bi",3211.5678,"1-5-2-5",109.08849886948,0.993027060255892
"116","P7","22plus5","Tetra",3213.5834,"0-7-0-7",4.20392160080535,0.993027060255892
"117","P7","22plus5","Tri",3215.5876,"4-5-0-6",27.3099506805535,0.993027060255892
"118","P7","22plus5","Tri",3228.583,"2-5-1-6",66.6902619169162,0.905478287945766
"119","P7","22plus5","Tri",3241.5784,"0-5-2-6",47.2419487561834,0.99472314102618
"120","P7","22plus5","Tri",3245.5982,"3-5-0-7",8.09090178000172,0.99472314102618
"121","P7","22plus5","Bi",3256.6142,"4-6-0-5",25.5511284209185,0.986727021286501
"122","P7","22plus5","Tri",3258.5936,"1-5-1-7",5.97021144839772,0.986727021286501
"123","P7","22plus5","Bi",3269.6096,"2-6-1-5",8.97497072841205,0.00208625834851032
"124","P7","22plus5","Tri",3275.6088,"2-5-0-8",2.83085553792077,0.193100763371363
"125","P7","22plus5","Tri",3286.6248,"3-6-0-6",21.9850911522764,0.945963515356749
"126","P7","22plus5","Tri",3299.6202,"1-6-1-6",18.2898913223932,0.968086359659981
"127","P7","22plus5","Bi",3314.6198,"3-4-2-5",21.0667639458539,0.982007351224842
"128","P7","22plus5","Tetra",3316.6354,"2-6-0-7",18.176512246411,0.982007351224842
"129","P7","22plus5","Bi",3327.6514,"3-7-0-5",4.79611069692263,0.977320448430529
"130","P7","22plus5","Tetra",3329.6308,"0-6-1-7",11.3459490099885,0.977320448430529
"131","P7","22plus5","Bi",3331.635,"4-4-1-6",4.37281392677055,0.977320448430529
"132","P7","22plus5","Polyhexose",3334.5968,"0-0-0-16",1.69632425453331,0.977320448430529
"133","P7","22plus5","Tetra",3346.646,"1-6-0-8",4.2185947942783,0.657147656981549
"134","P7","22plus5","Bi",3348.6502,"5-4-0-7",-0.424735067380644,0.657147656981549
"135","P7","22plus5","Tri",3357.662,"2-7-0-6",6.14406880362277,0.95743314933555
"136","P7","22plus5","Bi",3372.6616,"4-5-1-5",15.3666578357332,0.990917519829742
"137","P7","22plus5","Bi",3385.657,"2-5-2-5",5.71328906461561,0.986399498429298
"138","P7","22plus5","Tetra",3387.6726,"1-7-0-7",8.71444449551656,0.986399498429298
"139","P7","22plus5","Tri",3389.6768,"5-5-0-6",5.7190378174481,0.986399498429298
"140","P7","22plus5","Tri",3402.6722,"3-5-1-6",49.748775498993,0.991589782668359
"141","P7","22plus5","Tri",3415.6676,"1-5-2-6",26.1374609818937,0.997204894201964
"142","P7","22plus5","Penta",3417.6832,"0-7-0-8",9.8944728599462,0.997204894201964
"143","P7","22plus5","Tri",3419.6874,"4-5-0-7",3.80017092274621,0.997204894201964
"144","P7","22plus5","Bi",3430.7034,"5-6-0-5",11.5257811086734,0.991456594420788
"145","P7","22plus5","Tri",3432.6828,"2-5-1-7",4.1723624821921,0.991456594420788
"146","P7","22plus5","Bi",3443.6988,"3-6-1-5",9.93489808046045,0.555335681974318
"147","P7","22plus5","Tri",3449.698,"3-5-0-8",2.33751496580699,0.301458456992099
"148","P7","22plus5","Tri",3460.714,"4-6-0-6",25.0665403348846,0.968577703252821
"149","P7","22plus5","Tri",3473.7094,"2-6-1-6",17.9486589432741,0.828119424753856
"150","P7","22plus5","Tri",3486.7048,"0-6-2-6",4.16262737192975,0.962064701792118
"151","P7","22plus5","Tetra",3490.7246,"3-6-0-7",21.6843488414108,0.962064701792118
"152","P7","22plus5","Bi",3501.7406,"4-7-0-5",4.67093088041144,0.996829333197957
"153","P7","22plus5","Tetra",3503.72,"1-6-1-7",26.5061019872254,0.996829333197957
"154","P7","22plus5","Tetra",3520.7352,"2-6-0-8",5.91520304925039,0.634775191025392
"155","P7","22plus5","Tri",3531.7512,"3-7-0-6",7.27383097671485,0.990241532977063
"156","P7","22plus5","Polyhexose",3538.6966,"0-0-0-17",1.21181859856753,0.59819143637946
"157","P7","22plus5","Tri",3544.7466,"1-7-1-6",3.14156365503127,0.0567359676217251
"158","P7","22plus5","Bi",3559.7462,"3-5-2-5",2.83317899823724,0.990752538873142
"159","P7","22plus5","Tetra",3561.7618,"2-7-0-7",7.5280189991375,0.990752538873142
"160","P7","22plus5","Tri",3563.766,"6-5-0-6",0.770025277341159,0.990752538873142
"161","P7","22plus5","Tetra",3574.7572,"0-7-1-7",2.45213018344786,0.989675091598523
"162","P7","22plus5","Tri",3576.7614,"4-5-1-6",9.45548208445884,0.989675091598523
"163","P7","22plus5","Tri",3589.7568,"2-5-2-6",13.430388242367,0.996333959379418
"164","P7","22plus5","Penta",3591.7724,"1-7-0-8",10.72063919572,0.996333959379418
"165","P7","22plus5","Tri",3593.7766,"5-5-0-7",0.169555529924105,0.996333959379418
"166","P7","22plus5","Tri",3602.7522,"0-5-3-6",25.0016041521051,0.993537664963557
"167","P7","22plus5","Tri",3606.772,"3-5-1-7",4.51485627778047,0.993537664963557
"168","P7","22plus5","Bi",3617.788,"4-6-1-5",6.77550627785109,0.99212159187586
"169","P7","22plus5","Tri",3619.7674,"1-5-2-7",3.82753609939472,0.99212159187586
"170","P7","22plus5","Tri",3623.7872,"4-5-0-8",0.692167485404285,0.99212159187586
"171","P7","22plus5","Tetra",3632.799,"1-8-0-7",4.25728969199031,0.99580989348879
"172","P7","22plus5","Tri",3634.8032,"5-6-0-6",10.5798328893875,0.99580989348879
"173","P7","22plus5","Tri",3636.7826,"2-5-1-8",-0.26203518418281,0.99580989348879
"174","P7","22plus5","Tri",3647.7986,"3-6-1-6",13.1346569580467,0.967485081404
"175","P7","22plus5","Tri",3653.7978,"3-5-0-9",1.75171095474753,0.0258570842529949
"176","P7","22plus5","Tri",3660.794,"1-6-2-6",3.62254268548604,0.980682434611808
"177","P7","22plus5","Penta",3662.783,"0-8-0-8",4.45560483696747,0.980682434611808
"178","P7","22plus5","Tetra",3664.8138,"4-6-0-7",25.5090744258394,0.980682434611808
"179","P7","22plus5","Bi",3675.8298,"5-7-0-5",3.39905429033138,0.979467689728675
"180","P7","22plus5","Tetra",3677.8092,"2-6-1-7",22.8899861578745,0.979467689728675
"181","P7","22plus5","Tetra",3690.8046,"0-6-2-7",6.84761629094044,0.773980261691941
"182","P7","22plus5","Tetra",3694.8244,"3-6-0-8",4.04434459744757,0.773980261691941
"183","P7","22plus5","Tri",3705.8404,"4-7-0-6",8.07775673344826,0.992218134306646
"184","P7","22plus5","Tetra",3707.8198,"1-6-1-8",0.822389131591406,0.992218134306646
"185","P7","22plus5","Tri",3718.8358,"2-7-1-6",3.22343454072969,0.000325385874256828
"186","P7","22plus5","Tetra",3724.835,"2-6-0-9",1.28349980006554,0.11067332707938
"187","P7","22plus5","Tetra",3735.851,"3-7-0-7",8.32067618310182,0.987819449882226
"188","P7","22plus5","Tri",3737.8552,"7-5-0-6",-0.728057929076331,0.987819449882226
"189","P7","22plus5","Polyhexose",3742.7964,"0-0-0-18",0.997348675205831,0.586768900529806
"190","P7","22plus5","Tetra",3748.8464,"1-7-1-7",4.90458710121674,0.967608875084458
"191","P7","22plus5","Tri",3750.8506,"5-5-1-6",3.29539249939428,0.967608875084458
"192","P7","22plus5","Tri",3763.846,"3-5-2-6",11.4562376407882,0.994324934128098
"193","P7","22plus5","Penta",3765.8616,"2-7-0-8",8.29987357726652,0.994324934128098
"194","P7","22plus5","Tri",3767.8658,"6-5-0-7",-0.725304532615788,0.994324934128098
"195","P7","22plus5","Tri",3776.8414,"1-5-3-6",11.4122275006518,0.991545608440498
"196","P7","22plus5","Penta",3778.857,"0-7-1-8",2.92892031523162,0.991545608440498
"197","P7","22plus5","Tri",3780.8612,"4-5-1-7",2.93068735976777,0.991545608440498
"198","P7","22plus5","Tri",3793.8566,"2-5-2-7",3.96745978962124,0.676540851358588
"199","P7","22plus5","Penta",3795.8988,"1-7-0-9",-0.634920938366363,0.676540851358588
"200","P7","22plus5","Tri",3797.8764,"5-5-0-8",0.923386189768027,0.676540851358588
"201","P7","22plus5","Tetra",3806.8882,"2-8-0-7",4.04917862609806,0.946493648785103
"202","P7","22plus5","Tri",3808.8924,"6-6-0-6",0.693826741024439,0.946493648785103
"203","P7","22plus5","Tri",3810.8718,"3-5-1-8",0.975096568265994,0.946493648785103
"204","P7","22plus5","Tri",3821.8878,"4-6-1-6",10.7709384777155,0.998157640693508
"205","P7","22plus5","Tri",3827.887,"4-5-0-9",1.12475234750194,0.0145417102920347
"206","P7","22plus5","Tri",3834.8832,"2-6-2-6",5.66573450507137,0.975980518485953
"207","P7","22plus5","Penta",3836.8722,"1-8-0-8",4.43578026369288,0.975980518485953
"208","P7","22plus5","Tetra",3838.903,"5-6-0-7",9.2871874063699,0.975980518485953
"209","P7","22plus5","Tri",3847.8786,"0-6-3-6",1.71115923783079,0.994694905426901
"210","P7","22plus5","Tetra",3851.8984,"3-6-1-7",21.1225839676234,0.994694905426901
"211","P7","22plus5","Tetra",3864.8938,"1-6-2-7",9.34198396174807,0.986103730757766
"212","P7","22plus5","Hexa",3866.9094,"0-8-0-9",2.7214400842843,0.986103730757766
"213","P7","22plus5","Tetra",3868.9136,"4-6-0-8",2.19169300861675,0.986103730757766
"214","P7","22plus5","Tri",3879.9296,"5-7-0-6",10.1533476215162,0.996734562446419
"215","P7","22plus5","Tetra",3881.909,"2-6-1-8",1.14340973191027,0.996734562446419
"216","P7","22plus5","Tri",3892.925,"3-7-1-6",3.90378590619654,0.04041011927395
"217","P7","22plus5","Tetra",3898.9242,"3-6-0-9",1.40291169620203,0.212605101834732
