"","Glycan.type","mass","Composition: dHex-HexNAc-NeuAc-Hex"
"242","Tetra",4012.9922,"6-6-0-7"
"243","Tri",4021.9678,"1-6-3-6"
"244","Penta",4023.9568,"0-8-1-8"
"245","Tetra",4025.9876,"4-6-1-7"
"246","Tetra",4038.983,"2-6-2-7"
"247","Hexa",4040.9986,"1-8-0-9"
"248","Tetra",4043.0028,"5-6-0-8"
"249","Tetra",4051.9784,"0-6-3-7"
"250","Tri",4054.0188,"6-7-0-6"
"251","Tetra",4055.9982,"3-6-1-8"
"252","Tri",4067.0142,"4-7-1-6"
"253","Tetra",4068.9936,"1-6-2-8"
"254","Tetra",4073.0134,"4-6-0-9"
"255","Tri",4080.0096,"2-7-2-6"
"256","Penta",4081.972,"1-9-0-8"
"257","Tetra",4084.0294,"5-7-0-7"
"258","Tetra",4086.0088,"2-6-1-9"
"259","Tetra",4097.0248,"3-7-1-7"
"260","Tetra",4103.024,"3-6-0-10"
"261","Tetra",4110.0202,"1-7-2-7"
"262","Tri",4112.0244,"5-5-2-6"
"263","Penta",4114.04,"4-7-0-8"
"264","Tri",4125.0198,"3-5-3-6"
"265","Penta",4127.0354,"2-7-1-8"
"266","Tri",4129.0396,"6-5-1-7"
"267","Tri",4138.0514,"3-8-1-6"
"268","Penta",4140.0308,"0-7-2-8"
"269","Tri",4142.035,"4-5-2-7"
"270","Penta",4144.0772,"3-7-0-9"
"271","Tri",4146.0548,"7-5-0-8"
"272","Polyhexose",4150.996,"0-0-0-20"
"273","Tetra",4155.0666,"4-8-0-7"
"274","Penta",4157.0726,"1-7-1-9"
"275","Tri",4159.0502,"5-5-1-8"
"276","Tetra",4168.062,"2-8-1-7"
"277","Tri",4170.0662,"6-6-1-6"
"278","Penta",4174.1144,"2-7-0-10"
"279","Tri",4176.0654,"6-5-0-9"
"280","Tri",4183.0616,"4-6-2-6"
"281","Penta",4185.0506,"3-8-0-8"
"282","Tetra",4187.0814,"7-6-0-7"
"283","Tri",4196.057,"2-6-3-6"
"284","Penta",4198.046,"1-8-1-8"
"285","Tetra",4200.0768,"5-6-1-7"
"286","Tetra",4213.0722,"3-6-2-7"
"287","Hexa",4215.0878,"2-8-0-9"
"288","Tetra",4217.092,"6-6-0-8"
"289","Tetra",4226.0676,"1-6-3-7"
"290","Tri",4228.108,"7-7-0-6"
"291","Tetra",4230.0874,"4-6-1-8"
"292","Tri",4241.1034,"5-7-1-6"
"293","Tetra",4243.0828,"2-6-2-8"
"294","Hexa",4245.125,"1-8-0-10"
"295","Tetra",4247.1026,"5-6-0-9"
"296","Tri",4254.0988,"3-7-2-6"
"297","Penta",4256.0612,"2-9-0-8"
"298","Tetra",4258.1186,"6-7-0-7"
"299","Tetra",4260.098,"3-6-1-9"
"300","Tetra",4271.114,"4-7-1-7"
"301","Tetra",4277.1132,"4-6-0-10"
"302","Tetra",4284.1094,"2-7-2-7"
"303","Hexa",4286.0984,"1-9-0-9"
"304","Penta",4288.1292,"5-7-0-8"
"305","Tetra",4297.1048,"0-7-3-7"
"306","Tri",4299.109,"4-5-3-6"
"307","Penta",4301.1246,"3-7-1-8"
"308","Tri",4312.1406,"4-8-1-6"
"309","Penta",4314.12,"1-7-2-8"
"310","Tri",4316.1242,"5-5-2-7"
"311","Penta",4318.1664,"4-7-0-9"
"312","Tetra",4329.1558,"5-8-0-7"
"313","Penta",4331.1618,"2-7-1-9"
"314","Tri",4333.1394,"6-5-1-8"
"315","Tetra",4342.1512,"3-8-1-7"
"316","Penta",4348.2036,"3-7-0-10"
"317","Tri",4350.1546,"7-5-0-9"
"318","Tri",4357.1508,"5-6-2-6"
"319","Penta",4359.1398,"4-8-0-8"
"320","Tetra",4361.1706,"8-6-0-7"
"321","Tri",4370.1462,"3-6-3-6"
"322","Penta",4372.1352,"2-8-1-8"
"323","Tetra",4374.166,"6-6-1-7"
"324","Penta",4385.1306,"0-8-2-8"
"325","Tetra",4387.1614,"4-6-2-7"
"326","Hexa",4389.177,"3-8-0-9"
"327","Tetra",4391.1812,"7-6-0-8"
"328","Tetra",4400.1568,"2-6-3-7"
"329","Hexa",4402.1724,"1-8-1-9"
"330","Tetra",4404.1766,"5-6-1-8"
"331","Tetra",4413.1522,"0-6-4-7"
"332","Tri",4415.1926,"6-7-1-6"
"333","Tetra",4417.172,"3-6-2-8"
"334","Hexa",4419.2142,"2-8-0-10"
"335","Tetra",4421.1918,"6-6-0-9"
"336","Tri",4428.188,"4-7-2-6"
"337","Penta",4430.1504,"3-9-0-8"
